date,realtime_start,realtime_end,value,3m_tbill
2019-11-01,2024-04-11,2024-04-11,1.54,0.0154
2019-12-01,2024-04-11,2024-04-11,1.54,0.0154
2020-01-01,2024-04-11,2024-04-11,1.52,0.0152
2020-02-01,2024-04-11,2024-04-11,1.52,0.0152
2020-03-01,2024-04-11,2024-04-11,0.29,0.0029
2020-04-01,2024-04-11,2024-04-11,0.14,0.0014000000000000002
2020-05-01,2024-04-11,2024-04-11,0.13,0.0013
2020-06-01,2024-04-11,2024-04-11,0.16,0.0016
2020-07-01,2024-04-11,2024-04-11,0.13,0.0013
2020-08-01,2024-04-11,2024-04-11,0.1,0.001
2020-09-01,2024-04-11,2024-04-11,0.11,0.0011
2020-10-01,2024-04-11,2024-04-11,0.1,0.001
2020-11-01,2024-04-11,2024-04-11,0.09,0.0009
2020-12-01,2024-04-11,2024-04-11,0.09,0.0009
2021-01-01,2024-04-11,2024-04-11,0.08,0.0008
2021-02-01,2024-04-11,2024-04-11,0.04,0.0004
2021-03-01,2024-04-11,2024-04-11,0.03,0.0003
2021-04-01,2024-04-11,2024-04-11,0.02,0.0002
2021-05-01,2024-04-11,2024-04-11,0.02,0.0002
2021-06-01,2024-04-11,2024-04-11,0.04,0.0004
2021-07-01,2024-04-11,2024-04-11,0.05,0.0005
2021-08-01,2024-04-11,2024-04-11,0.05,0.0005
2021-09-01,2024-04-11,2024-04-11,0.04,0.0004
2021-10-01,2024-04-11,2024-04-11,0.05,0.0005
2021-11-01,2024-04-11,2024-04-11,0.05,0.0005
2021-12-01,2024-04-11,2024-04-11,0.06,0.0006
2022-01-01,2024-04-11,2024-04-11,0.15,0.0015
2022-02-01,2024-04-11,2024-04-11,0.33,0.0033
2022-03-01,2024-04-11,2024-04-11,0.44,0.0044
2022-04-01,2024-04-11,2024-04-11,0.76,0.0076
2022-05-01,2024-04-11,2024-04-11,0.98,0.0098
2022-06-01,2024-04-11,2024-04-11,1.49,0.0149
2022-07-01,2024-04-11,2024-04-11,2.23,0.0223
2022-08-01,2024-04-11,2024-04-11,2.63,0.0263
2022-09-01,2024-04-11,2024-04-11,3.13,0.0313
2022-10-01,2024-04-11,2024-04-11,3.72,0.037200000000000004
2022-11-01,2024-04-11,2024-04-11,4.15,0.0415
2022-12-01,2024-04-11,2024-04-11,4.25,0.0425
2023-01-01,2024-04-11,2024-04-11,4.54,0.0454
2023-02-01,2024-04-11,2024-04-11,4.65,0.04650000000000001
2023-03-01,2024-04-11,2024-04-11,4.69,0.046900000000000004
2023-04-01,2024-04-11,2024-04-11,4.92,0.0492
2023-05-01,2024-04-11,2024-04-11,5.14,0.051399999999999994
2023-06-01,2024-04-11,2024-04-11,5.16,0.0516
2023-07-01,2024-04-11,2024-04-11,5.25,0.0525
2023-08-01,2024-04-11,2024-04-11,5.3,0.053
2023-09-01,2024-04-11,2024-04-11,5.32,0.053200000000000004
2023-10-01,2024-04-11,2024-04-11,5.34,0.053399999999999996
2023-11-01,2024-04-11,2024-04-11,5.27,0.0527
2023-12-01,2024-04-11,2024-04-11,5.24,0.0524
2024-01-01,2024-04-11,2024-04-11,5.22,0.052199999999999996
2024-02-01,2024-04-11,2024-04-11,5.24,0.0524
2024-03-01,2024-04-11,2024-04-11,5.24,0.0524
