DATE,CORESTICKM159SFRBATL
2019-11-01,2.772021
2019-12-01,2.752609
2020-01-01,2.790484
2020-02-01,2.800101
2020-03-01,2.606553
2020-04-01,2.179323
2020-05-01,2.01414
2020-06-01,1.993544
2020-07-01,2.281283
2020-08-01,2.213149
2020-09-01,1.980283
2020-10-01,1.747303
2020-11-01,1.697582
2020-12-01,1.600671
2021-01-01,1.400569
2021-02-01,1.405123
2021-03-01,1.592366
2021-04-01,2.209393
2021-05-01,2.562825
2021-06-01,2.558145
2021-07-01,2.323597
2021-08-01,2.332419
2021-09-01,2.610662
2021-10-01,3.007604
2021-11-01,3.184384
2021-12-01,3.456458
2022-01-01,3.965498
2022-02-01,4.280304
2022-03-01,4.534344
2022-04-01,4.703935
2022-05-01,4.950974
2022-06-01,5.39633
2022-07-01,5.59073
2022-08-01,5.951312
2022-09-01,6.348017
2022-10-01,6.312946
2022-11-01,6.422543
2022-12-01,6.538167
2023-01-01,6.487554
2023-02-01,6.525
2023-03-01,6.390946
2023-04-01,6.264224
2023-05-01,5.975255
2023-06-01,5.586684
2023-07-01,5.405751
2023-08-01,5.172225
2023-09-01,4.95977
2023-10-01,4.882928
2023-11-01,4.688293
2023-12-01,4.554396
2024-01-01,4.603922367
2024-02-01,4.403102398
